Name,DOB,,Party,,,State Code,Active,Occupation,Us Start date,District
"Cochran, Thad",1962-01-24,,Republican,1234534841,coc@gail.co,28,1,,1962-01-24,00
"Wicker, Roger F.",1962-01-25,,Republican,1234534842,wic@gail.co,28,1,,1962-01-25,00
"Luetkemeyer, Blaine",1962-01-26,,Republican,1234534843,lue@gail.co,29,1,,1962-01-26,03
"Graves, Sam",1962-01-27,,Republican,1234534844,gra@gail.co,29,1,,1962-01-27,06
"Wagner, Ann",1962-01-28,,Republican,1234534845,wag@gail.co,29,1,,1962-01-28,02
"McCaskill, Claire",1962-01-29,,Democratic,1234534846,mcc@gail.co,29,1,,1962-01-29,00
"Hartzler, Vicky",1962-01-30,,Republican,1234534847,har@gail.co,29,1,,1962-01-30,04
"Clay, Wm. Lacy",1962-01-31,,Democratic,1234534848,cla@gail.co,29,1,,1962-01-31,01
"Long, Billy",1962-02-01,,Republican,1234534849,lon@gail.co,29,1,,1962-02-01,07
"Blunt, Roy",1962-02-02,,Republican,1234534850,blu@gail.co,29,1,,1962-02-02,00
"Smith, Jason",1962-02-03,,Republican,1234534851,smi@gail.co,29,1,,1962-02-03,08
"Cleaver, Emanuel",1962-02-04,,Democratic,1234534852,cle@gail.co,29,1,,1962-02-04,05
"Zinke, Ryan K.",1962-02-05,,Republican,1234534853,zin@gail.co,30,1,,1962-02-05,00
"Tester, Jon",1962-02-06,,Democratic,1234534854,tes@gail.co,30,1,,1962-02-06,00
"Daines, Steve",1962-02-07,,Republican,1234534855,dai@gail.co,30,1,,1962-02-07,00
"Fischer, Deb",1962-02-08,,Republican,1234534856,fis@gail.co,31,1,,1962-02-08,00
"Fortenberry, Jeff",1962-02-09,,Republican,1234534857,for@gail.co,31,1,,1962-02-09,01
"Sasse, Ben",1962-02-10,,Republican,1234534858,sas@gail.co,31,1,,1962-02-10,00
"Bacon, Don",1962-02-11,,Republican,1234534859,bac@gail.co,31,1,,1962-02-11,02
"Smith, Adrian",1962-02-12,,Republican,1234534860,smi@gail.co,31,1,,1962-02-12,03
"Heller, Dean",1962-02-13,,Republican,1234534861,hel@gail.co,32,1,,1962-02-13,00
"Masto, Catherine Cortez",1962-02-14,,Democratic,1234534862,mas@gail.co,32,1,,1962-02-14,00
"Rosen, Jacky",1962-02-15,,Democratic,1234534863,ros@gail.co,32,1,,1962-02-15,03
"Amodei, Mark E.",1962-02-16,,Republican,1234534864,amo@gail.co,32,1,,1962-02-16,02
"Titus, Dina",1962-02-17,,Democratic,1234534865,tit@gail.co,32,1,,1962-02-17,01
"Kihuen, Ruben",1962-02-18,,Democratic,1234534866,kih@gail.co,32,1,,1962-02-18,04
"Shea-Porter, Carol",1962-02-19,,Democratic,1234534867,she@gail.co,33,1,,1962-02-19,01
"Kuster, Ann M.",1962-02-20,,Democratic,1234534868,kus@gail.co,33,1,,1962-02-20,02
"Shaheen, Jeanne",1962-02-21,,Democratic,1234534869,sha@gail.co,33,1,,1962-02-21,00
"Hassan, Maggie",1962-02-22,,Democratic,1234534870,has@gail.co,33,1,,1962-02-22,00
"Norcross, Donald",1962-02-23,,Democratic,1234534871,nor@gail.co,34,1,,1962-02-23,01
"Sires, Albio",1962-02-24,,Democratic,1234534872,sir@gail.co,34,1,,1962-02-24,08
"Gottheimer, Josh",1962-02-25,,Democratic,1234534873,got@gail.co,34,1,,1962-02-25,05
"Menendez, Robert",1962-02-26,,Democratic,1234534874,men@gail.co,34,1,,1962-02-26,00
"Watson Coleman, Bonnie",1962-02-27,,Democratic,1234534875,wat@gail.co,34,1,,1962-02-27,12
"MacArthur, Thomas",1962-02-28,,Republican,1234534876,mac@gail.co,34,1,,1962-02-28,03
"Frelinghuysen, Rodney P.",1962-03-01,,Republican,1234534877,fre@gail.co,34,1,,1962-03-01,11
"Smith, Christopher H.",1962-03-02,,Republican,1234534878,smi@gail.co,34,1,,1962-03-02,04
"LoBiondo, Frank A.",1962-03-03,,Republican,1234534879,lob@gail.co,34,1,,1962-03-03,02
"Payne, Donald M.",1962-03-04,,Democratic,1234534880,pay@gail.co,34,1,,1962-03-04,10
"Booker, Cory A.",1962-03-05,,Democratic,1234534881,boo@gail.co,34,1,,1962-03-05,00
"Pallone, Frank",1962-03-06,,Democratic,1234534882,pal@gail.co,34,1,,1962-03-06,06
"Pascrell, Bill",1962-03-07,,Democratic,1234534883,pas@gail.co,34,1,,1962-03-07,09
"Lance, Leonard",1962-03-08,,Republican,1234534884,lan@gail.co,34,1,,1962-03-08,07
"Pearce, Stevan",1962-03-09,,Republican,1234534885,pea@gail.co,35,1,,1962-03-09,02
"Lujan Grisham, Michelle",1962-03-10,,Democratic,1234534886,luj@gail.co,35,1,,1962-03-10,01
"Udall, Tom",1962-03-11,,Democratic,1234534887,uda@gail.co,35,1,,1962-03-11,00
"Heinrich, Martin",1962-03-12,,Democratic,1234534888,hei@gail.co,35,1,,1962-03-12,00
"Lujan, Ben Ray",1962-03-13,,Democratic,1234534889,luj@gail.co,35,1,,1962-03-13,03
"Lowey, Nita M.",1962-03-14,,Democratic,1234534890,low@gail.co,36,1,,1962-03-14,17
"Rice, Kathleen M.",1962-03-15,,Democratic,1234534891,ric@gail.co,36,1,,1962-03-15,04
"Katko, John",1962-03-16,,Republican,1234534892,kat@gail.co,36,1,,1962-03-16,24
"King, Peter T.",1962-03-17,,Republican,1234534893,kin@gail.co,36,1,,1962-03-17,02
"Zeldin, Lee M.",1962-03-18,,Republican,1234534894,zel@gail.co,36,1,,1962-03-18,01
"Tonko, Paul",1962-03-19,,Democratic,1234534895,ton@gail.co,36,1,,1962-03-19,20
"Espaillat, Adriano",1962-03-20,,Democratic,1234534896,esp@gail.co,36,1,,1962-03-20,13
"Stefanik, Elise M.",1962-03-21,,Republican,1234534897,ste@gail.co,36,1,,1962-03-21,21
"Serrano, Jose E.",1962-03-22,,Democratic,1234534898,ser@gail.co,36,1,,1962-03-22,15
"Collins, Chris",1962-03-23,,Republican,1234534899,col@gail.co,36,1,,1962-03-23,27
"Meeks, Gregory W.",1962-03-24,,Democratic,1234534900,mee@gail.co,36,1,,1962-03-24,05
"Nadler, Jerrold",1962-03-25,,Democratic,1234534901,nad@gail.co,36,1,,1962-03-25,10
"Velazquez, Nydia M.",1962-03-26,,Democratic,1234534902,vel@gail.co,36,1,,1962-03-26,07
"Clarke, Yvette D.",1962-03-27,,Democratic,1234534903,cla@gail.co,36,1,,1962-03-27,09
"Meng, Grace",1962-03-28,,Democratic,1234534904,men@gail.co,36,1,,1962-03-28,06
"Jeffries, Hakeem S.",1962-03-29,,Democratic,1234534905,jef@gail.co,36,1,,1962-03-29,08
"Reed, Tom",1962-03-30,,Republican,1234534906,ree@gail.co,36,1,,1962-03-30,23
"Schumer, Charles E.",1962-03-31,,Democratic,1234534907,sch@gail.co,36,1,,1962-03-31,00
"Higgins, Brian",1962-04-01,,Democratic,1234534908,hig@gail.co,36,1,,1962-04-01,26
"Crowley, Joseph",1962-04-02,,Democratic,1234534909,cro@gail.co,36,1,,1962-04-02,14
"Tenney, Claudia",1962-04-03,,Republican,1234534910,ten@gail.co,36,1,,1962-04-03,22
"Donovan, Daniel M.",1962-04-04,,Republican,1234534911,don@gail.co,36,1,,1962-04-04,11
"Gillibrand, Kirsten E.",1962-04-05,,Democratic,1234534912,gil@gail.co,36,1,,1962-04-05,00
"Engel, Eliot L.",1962-04-06,,Democratic,1234534913,eng@gail.co,36,1,,1962-04-06,16
"Maloney, Sean Patrick",1962-04-07,,Democratic,1234534914,mal@gail.co,36,1,,1962-04-07,18
"Maloney, Carolyn B.",1962-04-08,,Democratic,1234534915,mal@gail.co,36,1,,1962-04-08,12
"Slaughter, Louise McIntosh",1962-04-09,,Democratic,1234534916,sla@gail.co,36,1,,1962-04-09,25
"Faso, John",1962-04-10,,Republican,1234534917,fas@gail.co,36,1,,1962-04-10,19
"Suozzi, Tom",1962-04-11,,Democratic,1234534918,suo@gail.co,36,1,,1962-04-11,03
"Foxx, Virginia",1962-04-12,,Republican,1234534919,fox@gail.co,37,1,,1962-04-12,05
"Holding, George",1962-04-13,,Republican,1234534920,hol@gail.co,37,1,,1962-04-13,02
"Jones, Walter B.",1962-04-14,,Republican,1234534921,jon@gail.co,37,1,,1962-04-14,03
"Rouzer, David",1962-04-15,,Republican,1234534922,rou@gail.co,37,1,,1962-04-15,07
"Price, David E.",1962-04-16,,Democratic,1234534923,pri@gail.co,37,1,,1962-04-16,04
"Meadows, Mark",1962-04-17,,Republican,1234534924,mea@gail.co,37,1,,1962-04-17,11
"Pittenger, Robert",1962-04-18,,Republican,1234534925,pit@gail.co,37,1,,1962-04-18,09
"Tillis, Thom",1962-04-19,,Republican,1234534926,til@gail.co,37,1,,1962-04-19,00
"Hudson, Richard",1962-04-20,,Republican,1234534927,hud@gail.co,37,1,,1962-04-20,08
"Butterfield, G. K.",1962-04-21,,Democratic,1234534928,but@gail.co,37,1,,1962-04-21,01
"Burr, Richard",1962-04-22,,Republican,1234534929,bur@gail.co,37,1,,1962-04-22,00
"Walker, Mark",1962-04-23,,Republican,1234534930,wal@gail.co,37,1,,1962-04-23,06
"Adams, Alma S.",1962-04-24,,Democratic,1234534931,ada@gail.co,37,1,,1962-04-24,12
"McHenry, Patrick T.",1962-04-25,,Republican,1234534932,mch@gail.co,37,1,,1962-04-25,10
"Budd, Ted",1962-04-26,,Republican,1234534933,bud@gail.co,37,1,,1962-04-26,13
"Heitkamp, Heidi",1962-04-27,,Democratic,1234534934,hei@gail.co,38,1,,1962-04-27,00
"Hoeven, John",1962-04-28,,Republican,1234534935,hoe@gail.co,38,1,,1962-04-28,00
"Cramer, Kevin",1962-04-29,,Republican,1234534936,cra@gail.co,38,1,,1962-04-29,00
"Sablan, Gregorio Kilili Camacho",1962-04-30,,Democratic,1234534937,sab@gail.co,69,1,,1962-04-30,00
"Joyce, David P.",1962-05-01,,Republican,1234534938,joy@gail.co,39,1,,1962-05-01,14
"Kaptur, Marcy",1962-05-02,,Democratic,1234534939,kap@gail.co,39,1,,1962-05-02,09
"Jordan, Jim",1962-05-03,,Republican,1234534940,jor@gail.co,39,1,,1962-05-03,04
"Portman, Rob",1962-05-04,,Republican,1234534941,por@gail.co,39,1,,1962-05-04,00
"Gibbs, Bob",1962-05-05,,Republican,1234534942,gib@gail.co,39,1,,1962-05-05,07
"Davidson, Warren",1962-05-06,,Republican,1234534943,dav@gail.co,39,1,,1962-05-06,08
"Brown, Sherrod",1962-05-07,,Democratic,1234534944,bro@gail.co,39,1,,1962-05-07,00
"Latta, Robert E.",1962-05-08,,Republican,1234534945,lat@gail.co,39,1,,1962-05-08,05
"Johnson, Bill",1962-05-09,,Republican,1234534946,joh@gail.co,39,1,,1962-05-09,06
"Renacci, James B.",1962-05-10,,Republican,1234534947,ren@gail.co,39,1,,1962-05-10,16
"Chabot, Steve",1962-05-11,,Republican,1234534948,cha@gail.co,39,1,,1962-05-11,01
"Stivers, Steve",1962-05-12,,Republican,1234534949,sti@gail.co,39,1,,1962-05-12,15
"Turner, Michael R.",1962-05-13,,Republican,1234534950,tur@gail.co,39,1,,1962-05-13,10
"Tiberi, Patrick J.",1962-05-14,,Republican,1234534951,tib@gail.co,39,1,,1962-05-14,12
"Wenstrup, Brad R.",1962-05-15,,Republican,1234534952,wen@gail.co,39,1,,1962-05-15,02
"Ryan, Tim",1962-05-16,,Democratic,1234534953,rya@gail.co,39,1,,1962-05-16,13
"Beatty, Joyce",1962-05-17,,Democratic,1234534954,bea@gail.co,39,1,,1962-05-17,03
"Fudge, Marcia L.",1962-05-18,,Democratic,1234534955,fud@gail.co,39,1,,1962-05-18,11
"Mullin, Markwayne",1962-05-19,,Republican,1234534956,mul@gail.co,40,1,,1962-05-19,02
"Cole, Tom",1962-05-20,,Republican,1234534957,col@gail.co,40,1,,1962-05-20,04
"Lankford, James",1962-05-21,,Republican,1234534958,lan@gail.co,40,1,,1962-05-21,00
"Lucas, Frank D.",1962-05-22,,Republican,1234534959,luc@gail.co,40,1,,1962-05-22,03
"Bridenstine, Jim",1962-05-23,,Republican,1234534960,bri@gail.co,40,1,,1962-05-23,01
"Inhofe, James M.",1962-05-24,,Republican,1234534961,inh@gail.co,40,1,,1962-05-24,00
"Russell, Steve",1962-05-25,,Republican,1234534962,rus@gail.co,40,1,,1962-05-25,05
"Schrader, Kurt",1962-05-26,,Democratic,1234534963,sch@gail.co,41,1,,1962-05-26,05
"Merkley, Jeff",1962-05-27,,Democratic,1234534964,mer@gail.co,41,1,,1962-05-27,00
"Bonamici, Suzanne",1962-05-28,,Democratic,1234534965,bon@gail.co,41,1,,1962-05-28,01
"DeFazio, Peter A.",1962-05-29,,Democratic,1234534966,def@gail.co,41,1,,1962-05-29,04
"Blumenauer, Earl",1962-05-30,,Democratic,1234534967,blu@gail.co,41,1,,1962-05-30,03
"Wyden, Ron",1962-05-31,,Democratic,1234534968,wyd@gail.co,41,1,,1962-05-31,00
"Walden, Greg",1962-06-01,,Republican,1234534969,wal@gail.co,41,1,,1962-06-01,02
"Costello, Ryan A.",1962-06-02,,Republican,1234534970,cos@gail.co,42,1,,1962-06-02,06
"Smucker, Lloyd",1962-06-03,,Republican,1234534971,smu@gail.co,42,1,,1962-06-03,16
"Thompson, Glenn",1962-06-04,,Republican,1234534972,tho@gail.co,42,1,,1962-06-04,05
"Casey, Robert P.",1962-06-05,,Democratic,1234534973,cas@gail.co,42,1,,1962-06-05,00
"Brady, Robert A.",1962-06-06,,Democratic,1234534974,bra@gail.co,42,1,,1962-06-06,01
"Barletta, Lou",1962-06-07,,Republican,1234534975,bar@gail.co,42,1,,1962-06-07,11
"Dent, Charles W.",1962-06-08,,Republican,1234534976,den@gail.co,42,1,,1962-06-08,15
"Doyle, Michael F.",1962-06-09,,Democratic,1234534977,doy@gail.co,42,1,,1962-06-09,14
"Meehan, Patrick",1962-06-10,,Republican,1234534978,mee@gail.co,42,1,,1962-06-10,07
"Marino, Tom",1962-06-11,,Republican,1234534979,mar@gail.co,42,1,,1962-06-11,10
"Rothfus, Keith J.",1962-06-12,,Republican,1234534980,rot@gail.co,42,1,,1962-06-12,12
"Cartwright, Matt",1962-06-13,,Democratic,1234534981,car@gail.co,42,1,,1962-06-13,17
"Shuster, Bill",1962-06-14,,Republican,1234534982,shu@gail.co,42,1,,1962-06-14,09
"Evans, Dwight",1962-06-15,,Democratic,1234534983,eva@gail.co,42,1,,1962-06-15,02
"Murphy, Tim",1962-06-16,,Republican,1234534984,mur@gail.co,42,1,,1962-06-16,18
"Kelly, Mike",1962-06-17,,Republican,1234534985,kel@gail.co,42,1,,1962-06-17,03
"Boyle, Brendan F.",1962-06-18,,Democratic,1234534986,boy@gail.co,42,1,,1962-06-18,13
"Fitzpatrick, Michael G.",1962-06-19,,Republican,1234534987,fit@gail.co,42,1,,1962-06-19,08
"Toomey, Pat",1962-06-20,,Republican,1234534988,too@gail.co,42,1,,1962-06-20,00
"Perry, Scott",1962-06-21,,Republican,1234534989,per@gail.co,42,1,,1962-06-21,04
"Pierluisi, Pedro R.",1962-06-22,,Democratic,1234534990,pie@gail.co,72,1,,1962-06-22,00
"Cicilline, David N.",1962-06-23,,Democratic,1234534991,cic@gail.co,44,1,,1962-06-23,01
"Langevin, James R.",1962-06-24,,Democratic,1234534992,lan@gail.co,44,1,,1962-06-24,02
"Whitehouse, Sheldon",1962-06-25,,Democratic,1234534993,whi@gail.co,44,1,,1962-06-25,00
"Reed, Jack",1962-06-26,,Democratic,1234534994,ree@gail.co,44,1,,1962-06-26,00
"Gowdy, Trey",1962-06-27,,Republican,1234534995,gow@gail.co,45,1,,1962-06-27,04
"Graham, Lindsey",1962-06-28,,Republican,1234534996,gra@gail.co,45,1,,1962-06-28,00
"Clyburn, James E.",1962-06-29,,Democratic,1234534997,cly@gail.co,45,1,,1962-06-29,06
"Mulvaney, Mick",1962-06-30,,Republican,1234534998,mul@gail.co,45,1,,1962-06-30,05
"Wilson, Joe",1962-07-01,,Republican,1234534999,wil@gail.co,45,1,,1962-07-01,02
"Duncan, Jeff",1962-07-02,,Republican,1234535000,dun@gail.co,45,1,,1962-07-02,03
"Sanford, Mark",1962-07-03,,Republican,1234535001,san@gail.co,45,1,,1962-07-03,01
"Scott, Tim",1962-07-04,,Republican,1234535002,sco@gail.co,45,1,,1962-07-04,00
"Rice, Tom",1962-07-05,,Republican,1234535003,ric@gail.co,45,1,,1962-07-05,07
"Noem, Kristi L.",1962-07-06,,Republican,1234535004,noe@gail.co,46,1,,1962-07-06,00
"Rounds, Mike",1962-07-07,,Republican,1234535005,rou@gail.co,46,1,,1962-07-07,00
"Thune, John",1962-07-08,,Republican,1234535006,thu@gail.co,46,1,,1962-07-08,00
"Duncan, John J.",1962-07-09,,Republican,1234535007,dun@gail.co,47,1,,1962-07-09,02
"Kustoff, David",1962-07-10,,Republican,1234535008,kus@gail.co,47,1,,1962-07-10,08
"Corker, Bob",1962-07-11,,Republican,1234535009,cor@gail.co,47,1,,1962-07-11,00
"Cooper, Jim",1962-07-12,,Democratic,1234535010,coo@gail.co,47,1,,1962-07-12,05
"Fleischmann, Charles J.",1962-07-13,,Republican,1234535011,fle@gail.co,47,1,,1962-07-13,03
"Blackburn, Marsha",1962-07-14,,Republican,1234535012,bla@gail.co,47,1,,1962-07-14,07
"Alexander, Lamar",1962-07-15,,Republican,1234535013,ale@gail.co,47,1,,1962-07-15,00
"Roe, David P.",1962-07-16,,Republican,1234535014,roe@gail.co,47,1,,1962-07-16,01
"Black, Diane",1962-07-17,,Republican,1234535015,bla@gail.co,47,1,,1962-07-17,06
"DesJarlais, Scott",1962-07-18,,Republican,1234535016,des@gail.co,47,1,,1962-07-18,04
"Cohen, Steve",1962-07-19,,Democratic,1234535017,coh@gail.co,47,1,,1962-07-19,09
"Green, Gene",1962-07-20,,Democratic,1234535018,gre@gail.co,48,1,,1962-07-20,29
"Conaway, K. Michael",1962-07-21,,Republican,1234535019,con@gail.co,48,1,,1962-07-21,11
"Cruz, Ted",1962-07-22,,Republican,1234535020,cru@gail.co,48,1,,1962-07-22,00
"Cuellar, Henry",1962-07-23,,Democratic,1234535021,cue@gail.co,48,1,,1962-07-23,28
"Olson, Pete",1962-07-24,,Republican,1234535022,ols@gail.co,48,1,,1962-07-24,22
"Veasey, Marc A.",1962-07-25,,Democratic,1234535023,vea@gail.co,48,1,,1962-07-25,33
"Johnson, Eddie Bernice",1962-07-26,,Democratic,1234535024,joh@gail.co,48,1,,1962-07-26,30
"Burgess, Michael C.",1962-07-27,,Republican,1234535025,bur@gail.co,48,1,,1962-07-27,26
"Carter, John R.",1962-07-28,,Republican,1234535026,car@gail.co,48,1,,1962-07-28,31
"Babin, Brian",1962-07-29,,Republican,1234535027,bab@gail.co,48,1,,1962-07-29,36
"Gohmert, Louie",1962-07-30,,Republican,1234535028,goh@gail.co,48,1,,1962-07-30,01
"Jackson Lee, Sheila",1962-07-31,,Democratic,1234535029,jac@gail.co,48,1,,1962-07-31,18
"McCaul, Michael T.",1962-08-01,,Republican,1234535030,mcc@gail.co,48,1,,1962-08-01,10
"Granger, Kay",1962-08-02,,Republican,1234535031,gra@gail.co,48,1,,1962-08-02,12
"Thornberry, Mac",1962-08-03,,Republican,1234535032,tho@gail.co,48,1,,1962-08-03,13
"Green, Al",1962-08-04,,Democratic,1234535033,gre@gail.co,48,1,,1962-08-04,09
"Smith, Lamar",1962-08-05,,Republican,1234535034,smi@gail.co,48,1,,1962-08-05,21
"O&#39;Rourke, Beto",1962-08-06,,Democratic,1234535035,o&#@gail.co,48,1,,1962-08-06,16
"Brady, Kevin",1962-08-07,,Republican,1234535036,bra@gail.co,48,1,,1962-08-07,08
"Johnson, Sam",1962-08-08,,Republican,1234535037,joh@gail.co,48,1,,1962-08-08,03
"Barton, Joe",1962-08-09,,Republican,1234535038,bar@gail.co,48,1,,1962-08-09,06
"Farenthold, Blake",1962-08-10,,Republican,1234535039,far@gail.co,48,1,,1962-08-10,27
"Culberson, John Abney",1962-08-11,,Republican,1234535040,cul@gail.co,48,1,,1962-08-11,07
"Doggett, Lloyd",1962-08-12,,Democratic,1234535041,dog@gail.co,48,1,,1962-08-12,35
"Sessions, Pete",1962-08-13,,Republican,1234535042,ses@gail.co,48,1,,1962-08-13,32
"Castro, Joaquin",1962-08-14,,Democratic,1234535043,cas@gail.co,48,1,,1962-08-14,20
"Arrington, Jodey",1962-08-15,,Republican,1234535044,arr@gail.co,48,1,,1962-08-15,19
"Williams, Roger",1962-08-16,,Republican,1234535045,wil@gail.co,48,1,,1962-08-16,25
"Weber, Randy K.",1962-08-17,,Republican,1234535046,web@gail.co,48,1,,1962-08-17,14
"Gonzalez, Vicente",1962-08-18,,Democratic,1234535047,gon@gail.co,48,1,,1962-08-18,15
"Hensarling, Jeb",1962-08-19,,Republican,1234535048,hen@gail.co,48,1,,1962-08-19,05
"Poe, Ted",1962-08-20,,Republican,1234535049,poe@gail.co,48,1,,1962-08-20,02
"Cornyn, John",1962-08-21,,Republican,1234535050,cor@gail.co,48,1,,1962-08-21,00
"Marchant, Kenny",1962-08-22,,Republican,1234535051,mar@gail.co,48,1,,1962-08-22,24
"Vela, Filemon",1962-08-23,,Democratic,1234535052,vel@gail.co,48,1,,1962-08-23,34
"Flores, Bill",1962-08-24,,Republican,1234535053,flo@gail.co,48,1,,1962-08-24,17
"Hurd, Will",1962-08-25,,Republican,1234535054,hur@gail.co,48,1,,1962-08-25,23
"Ratcliffe, John",1962-08-26,,Republican,1234535055,rat@gail.co,48,1,,1962-08-26,04
"Bishop, Rob",1962-08-27,,Republican,1234535056,bis@gail.co,49,1,,1962-08-27,01
"Lee, Mike",1962-08-28,,Republican,1234535057,lee@gail.co,49,1,,1962-08-28,00
"Stewart, Chris",1962-08-29,,Republican,1234535058,ste@gail.co,49,1,,1962-08-29,02
"Love, Mia B.",1962-08-30,,Republican,1234535059,lov@gail.co,49,1,,1962-08-30,04
"Hatch, Orrin G.",1962-08-31,,Republican,1234535060,hat@gail.co,49,1,,1962-08-31,00
"Chaffetz, Jason",1962-09-01,,Republican,1234535061,cha@gail.co,49,1,,1962-09-01,03
"Leahy, Patrick J.",1962-09-02,,Democratic,1234535062,lea@gail.co,50,1,,1962-09-02,00
"Sanders, Bernard",1962-09-03,,Independent,1234535063,san@gail.co,50,1,,1962-09-03,00
"Welch, Peter",1962-09-04,,Democratic,1234535064,wel@gail.co,50,1,,1962-09-04,00
"Plaskett, Stacey E.",1962-09-05,,Democratic,1234535065,pla@gail.co,,1,,1962-09-05,00
"Garrett, Tom",1962-09-06,,Republican,1234535066,gar@gail.co,51,1,,1962-09-06,05
"Taylor, Scott",1962-09-07,,Republican,1234535067,tay@gail.co,51,1,,1962-09-07,02
"Kaine, Tim",1962-09-08,,Democratic,1234535068,kai@gail.co,51,1,,1962-09-08,00
"McEachin, Donald",1962-09-09,,Democratic,1234535069,mce@gail.co,51,1,,1962-09-09,04
"Beyer, Donald S.",1962-09-10,,Democratic,1234535070,bey@gail.co,51,1,,1962-09-10,08
"Scott, Robert C.",1962-09-11,,Democratic,1234535071,sco@gail.co,51,1,,1962-09-11,03
"Warner, Mark R.",1962-09-12,,Democratic,1234535072,war@gail.co,51,1,,1962-09-12,00
"Griffith, H. Morgan",1962-09-13,,Republican,1234535073,gri@gail.co,51,1,,1962-09-13,09
"Brat, Dave",1962-09-14,,Republican,1234535074,bra@gail.co,51,1,,1962-09-14,07
"Connolly, Gerald E.",1962-09-15,,Democratic,1234535075,con@gail.co,51,1,,1962-09-15,11
"Comstock, Barbara",1962-09-16,,Republican,1234535076,com@gail.co,51,1,,1962-09-16,10
"Goodlatte, Bob",1962-09-17,,Republican,1234535077,goo@gail.co,51,1,,1962-09-17,06
"Wittman, Robert J.",1962-09-18,,Republican,1234535078,wit@gail.co,51,1,,1962-09-18,01
"Heck, Denny",1962-09-19,,Democratic,1234535079,hec@gail.co,53,1,,1962-09-19,10
"Smith, Adam",1962-09-20,,Democratic,1234535080,smi@gail.co,53,1,,1962-09-20,09
"McMorris Rodgers, Cathy",1962-09-21,,Republican,1234535081,mcm@gail.co,53,1,,1962-09-21,05
"Larsen, Rick",1962-09-22,,Democratic,1234535082,lar@gail.co,53,1,,1962-09-22,02
"Newhouse, Dan",1962-09-23,,Republican,1234535083,new@gail.co,53,1,,1962-09-23,04
"DelBene, Suzan K.",1962-09-24,,Democratic,1234535084,del@gail.co,53,1,,1962-09-24,01
"Herrera Beutler, Jaime",1962-09-25,,Republican,1234535085,her@gail.co,53,1,,1962-09-25,03
"Jayapal, Pramila",1962-09-26,,Democratic,1234535086,jay@gail.co,53,1,,1962-09-26,07
"Murray, Patty",1962-09-27,,Democratic,1234535087,mur@gail.co,53,1,,1962-09-27,00
"Reichert, David G.",1962-09-28,,Republican,1234535088,rei@gail.co,53,1,,1962-09-28,08
"Cantwell, Maria",1962-09-29,,Democratic,1234535089,can@gail.co,53,1,,1962-09-29,00
"Kilmer, Derek",1962-09-30,,Democratic,1234535090,kil@gail.co,53,1,,1962-09-30,06
"Capito, Shelley Moore",1962-10-01,,Republican,1234535091,cap@gail.co,54,1,,1962-10-01,00
"McKinley, David B.",1962-10-02,,Republican,1234535092,mck@gail.co,54,1,,1962-10-02,01
"Mooney, Alexander X.",1962-10-03,,Republican,1234535093,moo@gail.co,54,1,,1962-10-03,02
"Manchin, Joe",1962-10-04,,Democratic,1234535094,man@gail.co,54,1,,1962-10-04,00
"Jenkins, Evan H.",1962-10-05,,Republican,1234535095,jen@gail.co,54,1,,1962-10-05,03
"Kind, Ron",1962-10-06,,Democratic,1234535096,kin@gail.co,55,1,,1962-10-06,03
"Baldwin, Tammy",1962-10-07,,Democratic,1234535097,bal@gail.co,55,1,,1962-10-07,00
"Pocan, Mark",1962-10-08,,Democratic,1234535098,poc@gail.co,55,1,,1962-10-08,02
"Sensenbrenner, F. James",1962-10-09,,Republican,1234535099,sen@gail.co,55,1,,1962-10-09,05
"Ryan, Paul",1962-10-10,,Republican,1234535100,rya@gail.co,55,1,,1962-10-10,01
"Duffy, Sean P.",1962-10-11,,Republican,1234535101,duf@gail.co,55,1,,1962-10-11,07
"Moore, Gwen",1962-10-12,,Democratic,1234535102,moo@gail.co,55,1,,1962-10-12,04
"Grothman, Glenn",1962-10-13,,Republican,1234535103,gro@gail.co,55,1,,1962-10-13,06
"Johnson, Ron",1962-10-14,,Republican,1234535104,joh@gail.co,55,1,,1962-10-14,00
"Gallagher, Mike",1962-10-15,,Republican,1234535105,gal@gail.co,55,1,,1962-10-15,08
"Enzi, Michael B.",1962-10-16,,Republican,1234535106,enz@gail.co,56,1,,1962-10-16,00
"Cheney, Liz",1962-10-17,,Republican,1234535107,che@gail.co,56,1,,1962-10-17,00
"Barrasso, John",1962-10-18,,Republican,1234535108,bar@gail.co,56,1,,1962-10-18,00
"Roe, David P.",1962-10-19,,Republican,1234535109,roe@gail.co,47,1,,1962-10-19,1
"Black, Diane",1962-10-20,,Republican,1234535110,bla@gail.co,47,1,,1962-10-20,6
"DesJarlais, Scott",1962-10-21,,Republican,1234535111,des@gail.co,47,1,,1962-10-21,4
"Cohen, Steve",1962-10-22,,Democratic,1234535112,coh@gail.co,47,1,,1962-10-22,9
"Green, Gene",1962-10-23,,Democratic,1234535113,gre@gail.co,48,1,,1962-10-23,29
"Conaway, K. Michael",1962-10-24,,Republican,1234535114,con@gail.co,48,1,,1962-10-24,11
"Cruz, Ted",1962-10-25,,Republican,1234535115,cru@gail.co,48,1,,1962-10-25,0
"Cuellar, Henry",1962-10-26,,Democratic,1234535116,cue@gail.co,48,1,,1962-10-26,28
"Olson, Pete",1962-10-27,,Republican,1234535117,ols@gail.co,48,1,,1962-10-27,22
